DEPARTAMENTO,MUNICIPIO,NOMBRE DE ORGANIZACIÓN,NIT,FECHA DE CONSTITUCIÓN,TELÉFONO,CADENA O SISTEMA  PRODUCTIVO,ACTIVIDAD AGROPECUARIA,PRODUCTOS
SANTANDER,AGUADA,ASOPROAGUADA,901206911-9,08/24/2018 12:00:00 AM,3123132860,FRUTAS- GANADERIA - CAFÉ,AGROPECUARIA,GRANADILLA- CAFÉ- GANADERIA
SANTANDER,ALBANIA,ASOPROMILCA,901087363-0,06/09/2017 12:00:00 AM,3142994861,LECHE,PECUARIA,LECHE CRUDA
SANTANDER,ALBANIA,ASOHATILO,890200110-1,02/06/2019 12:00:00 AM,3504720360,LECHE,PECUARIA,LECHE CRUDA
SANTANDER,ALBANIA,AGROALBAN,900628207-9,10/12/2012 12:00:00 AM,3138384369,GUAYABA,AGRICOLA,FRUTAS
SANTANDER,ALBANIA,AGROCOLPITAHAYA,900830868-1,04/09/2014 12:00:00 AM,3105533792,PITHAYA,AGRICOLA,PITAHATYA
SANTANDER,ALBANIA,ASOGALECA,900638839-6,07/25/2013 12:00:00 AM,3106695597,LECHE,PECUARIA,LECHE CRUDA
SANTANDER,ARATOCA,ASOCIACION DE PRODUCTORES HORTOFRUTICOLA DE LA VEREDA CLAVELLINA MUNICIPIO DE AROTOCA,901004664-7,09/01/2016 12:00:00 AM,3144316006,CITRICOLA,AGRICOLA,LIMON
SANTANDER,BARBOSA,AMUCBAR - ASOCIACIÓN DE MUJERES CAMPESINAS DE BARBOSA,804014967-4,08/07/1998 12:00:00 AM,3213249920,FRUTAS Y VERDURAS,AGRICOLA,"FRUTAS Y VERDURAS, ESPECIES MENORES"
SANTANDER,BARBOSA,ASOGUAYABAR - ASOCIACIÓN DE PRODUCTORES DE GUAYABA DE BARBOSA,901018178-1,11/05/2015 12:00:00 AM,3114993679,GUAYABA,AGRICOLA,"GUAYABA, CEFÉ Y PLÁTANO"
SANTANDER,BARICHARA,ASOCIACION MUJERES CAMPESINAS,804011995-7,11/27/1997 12:00:00 AM,3172787182,FRUTAS Y VERDURAS,AGRICOLA,"HORTALIZAS, AGUACATE, MANGO"
SANTANDER,BARICHARA,AGROHELENA ASOCIACION DE PEQUEÑOS Y MEDIANOS PRODUCTORES DE LA VEREDA SANTA HELENA,900911211-1,07/06/2000 12:00:00 AM,3152532139,FRUTAS Y VERDURAS,AGRICOLA,"CITRICOS, FRUTAS Y HORTALIZAS"
SANTANDER,BARRANCABERMEJA,ASOCIACION PESCADORES DEL MAGDALENA MEDIO,900.037.508-4,07/25/2005 12:00:00 AM,321 239 0548,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION PESQUERA TERMO GALAN,900.879.177-2,07/15/2016 12:00:00 AM,3107689469,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION PESQUERA CAMPO GALAN,900.937.977-7,08/11/2018 12:00:00 AM,3102137481,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION PESQUERA DE NUEVA VENECIA,900.953.799-1,03/28/2016 12:00:00 AM,3202736565,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION DE BAGREROS DE BARRANCABERMEJA,900.303.022-8,02/05/2009 12:00:00 AM,3118228626,PESCA ARTESANAL,PESCA,BAGRE
SANTANDER,BARRANCABERMEJA,ASOCIACION  DE PESCADORES DE LA COMUNA UNO,900.952.831-3,08/06/2015 12:00:00 AM,3228188572,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION CENTRO DE DESARROLLO PESQUERO CAMPO GALAN,900.949.917-7,12/03/2016 12:00:00 AM,3106138414,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION DE PESCADORES Y TRABAJADORES AGROPECUARIOS Y DE SERVICIOS MULTIPLES DEL RIO SOGAMOSO,900.234.974-8,08/13/2008 12:00:00 AM,3204117198,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION MULTIACTIVA DE PESCADORES Y TRABAJADORES PUERTO DE LA CHAVA,900.072.950-5,03/01/2006 12:00:00 AM,3203230660,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION DE PESCADORES DEL NORORIENTE DEL MUNICIOPIO DE BARRANCABERMEJA,829.001.780-9,10/01/1999 12:00:00 AM,3156277303,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
SANTANDER,BARRANCABERMEJA,ASOCIACION DE PESCADORES PRODUCTORES AGROPECUARIOS  DEL CAÑO SAN SILVESTRE,900.772.884-0,09/22/2014 12:00:00 AM,3214870579,PESCA ARTESANAL,PESCA,"BOCACHICO-DONCELLA - NICURO- ARENCA PACORA, ETC"
